,headline,date,doc_type,web_url,news_desk,keywords,byline
4678,‘I Am Just Hong Kong’: A City’s Fate in China’s Hands,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/hong-kong-china.html,Foreign,"['Politics and Government', 'Defense and Military Forces', 'Economic Conditions and Trends', 'Hong Kong Protests (2019)', 'Law and Legislation']",By Hannah Beech
4695,"‘Lionhearted’ Girl Bikes Dad Across India, Inspiring a Nation",2020-05-22,article,https://www.nytimes.com/2020/05/22/world/asia/india-bicycle-girl-migrants.html,Foreign,"['Bicycles and Bicycling', 'Migrant Labor (Non-Agriculture)', 'Pedicabs and Rickshaws', 'Quarantines', 'Coronavirus (2019-nCoV)']",By Jeffrey Gettleman and Suhasini Raj
4706,What’s Lost and Gained When We Put In 9-to-5 From Home?,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/canada/canada-working-from-home.html,Foreign,"['Coronavirus (2019-nCoV)', 'Labor and Jobs', 'Telecommuting']",By Ian Austen
4716,"Coronavirus Cases Fall in Europe’s Capitals, but Fears Over Reopening Linger",2020-05-22,article,https://www.nytimes.com/2020/05/22/world/europe/coronavirus-reopening.html,Foreign,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']",By Mark Landler
4723,"Coronavirus Cases Fall in Europe’s Capitals, but Fears Over Reopening Linger",2020-05-22,article,https://www.nytimes.com/2020/05/22/world/europe/coronavirus-reopening.html,Foreign,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']",By Mark Landler
4737,Why the Call to Prayer Made Me Cry This Ramadan,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/africa/coronavirus-ramadan-east-africa.html,Foreign,"['Coronavirus (2019-nCoV)', 'Ramadan', 'Quarantine (Life and Culture)', 'Mosques']",By Abdi Latif Dahir
4747,Virus Lockdown Forces Iran Into Its First Virtual Quds Day,2020-05-23,article,https://www.nytimes.com/2020/05/22/world/middleeast/virus-virtual-quds-day.html,Foreign,"['Defense and Military Forces', 'Palestinians', 'Coronavirus (2019-nCoV)', 'ANTI-SEMITISM']",By Farnaz Fassihi
4749,"Coronavirus Cases Fall in Europe’s Capitals, but Fears Over Reopening Linger",2020-05-22,article,https://www.nytimes.com/2020/05/22/world/europe/coronavirus-reopening.html,Foreign,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']",By Mark Landler
4764,Boris Johnson Avoids Criminal Inquiry Into His Dealings as London’s Mayor,2020-05-21,article,https://www.nytimes.com/2020/05/21/world/europe/boris-johnson-jennifer-arcuri-uk.html,Foreign,"['Politics and Government', 'Conflicts of Interest']",By Benjamin Mueller
4771,Pakistan Plane Crash Leaves Grim Task: Identifying Victims From DNA,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/pakistan-plane-crash.html,Foreign,"['Aviation Accidents, Safety and Disasters', 'AIRPORTS', 'Rescues', 'Deaths (Fatalities)']",By Zia ur-Rehman and Salman Masood
4800,"China, Faced With Challenges, Mounts Show of Strength at Congress Session",2020-05-22,article,https://www.nytimes.com/2020/05/21/business/economy/coronavirus-china-economy.html,Foreign,"['Politics and Government', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends']",By Keith Bradsher and Chris Buckley
4832,Outrage Grows Over Boris Johnson Aide’s 260-Mile Trip During Lockdown,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/europe/dominic-cummings-lockdown.html,Foreign,"['Politics and Government', 'Quarantines', 'Coronavirus (2019-nCoV)']",By Mark Landler and Stephen Castle
4833,Kim Jong-un Moves to Increase North Korea’s Nuclear Strength,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/asia/kim-jong-un-nuclear-north-korea.html,Foreign,"['Nuclear Weapons', 'Defense and Military Forces', 'Missiles and Missile Defense Systems']",By Choe Sang-Hun
4839,Coronavirus Threatens China’s Devotion to Chopsticks and Sharing Food,2020-05-25,article,https://www.nytimes.com/2020/05/25/world/asia/china-coronavirus-chopsticks.html,Foreign,"['Chopsticks', 'Chinese Food (Cuisine)', 'Restaurants', 'SARS (Severe Acute Respiratory Syndrome)', 'Hygiene and Cleanliness', 'Food', 'Coronavirus (2019-nCoV)']",By Amy Qin
4841,Outrage Grows Over Boris Johnson Aide’s 260-Mile Trip During Lockdown,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/europe/dominic-cummings-lockdown.html,Foreign,"['Politics and Government', 'Quarantines', 'Coronavirus (2019-nCoV)']",By Mark Landler and Stephen Castle
4869,Coronavirus Threatens China’s Devotion to Chopsticks and Sharing Food,2020-05-25,article,https://www.nytimes.com/2020/05/25/world/asia/china-coronavirus-chopsticks.html,Foreign,"['Chopsticks', 'Chinese Food (Cuisine)', 'Restaurants', 'SARS (Severe Acute Respiratory Syndrome)', 'Hygiene and Cleanliness', 'Food', 'Coronavirus (2019-nCoV)']",By Amy Qin
4874,Suriname’s President Shrugs Off Murder Sentence in Re-election Bid,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/americas/suriname-bouterse-election.html,Foreign,"['Politics and Government', 'Elections', 'Murders, Attempted Murders and Homicides']",By Anatoly Kurmanaev
4876,U.N. Documents Abductions and Torture Of Iraqi Protesters,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/middleeast/iraq-un-protests-kidnapping-militias.html,Foreign,"['Politics and Government', 'Demonstrations, Protests and Riots', 'Kidnapping and Hostages', 'Civilian Casualties', 'Torture', 'Human Rights and Human Rights Violations', 'Missing Persons']",By Alissa J. Rubin
4880,"Pandemic Swells in South America, as the U.S. Nears 100,000 Deaths",2020-05-23,article,https://www.nytimes.com/2020/05/23/world/coronavirus-news-update.html,Foreign,['Coronavirus (2019-nCoV)'],
4882,"U.S. Bans Flights From Brazil, Where Pandemic Is Raging",2020-05-25,article,https://www.nytimes.com/2020/05/24/world/americas/brazil-us-coronavirus-travel-ban.html,Foreign,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Travel and Vacations', 'United States Politics and Government']",By Letícia Casado and Anatoly Kurmanaev
4902,European Defense and ‘Strategic Autonomy’ Are Also Coronavirus Victims,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/europe/defense-autonomy-europe-coronavirus.html,Foreign,"['Defense and Military Forces', 'Politics and Government', 'Budgets and Budgeting', 'Coronavirus (2019-nCoV)']",By Steven Erlanger
4909,"By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South.",2020-05-25,article,https://www.nytimes.com/2020/05/25/world/middleeast/libya-mercenaries-arms-embargo.html,Foreign,"['Mercenaries and Private Military Contractors', 'Defense and Military Forces', 'Embargoes and Sanctions', 'United States Politics and Government']",By Declan Walsh
4910,New Zealand Earthquake Interrupts Jacinda Ardern’s TV Interview,2020-05-25,article,https://www.nytimes.com/2020/05/24/world/asia/jacinda-ardern-new-zealand-earthquake.html,Foreign,"['Earthquakes', 'Politics and Government', 'Coronavirus (2019-nCoV)']",By Damien Cave
4916,"On a Scottish Isle, Nursing Home Deaths Expose a Covid-19 Scandal",2020-05-25,article,https://www.nytimes.com/2020/05/25/world/europe/coronavirus-uk-nursing-homes.html,Foreign,"['Nursing Homes', 'Coronavirus (2019-nCoV)', 'Elder Care', 'Deaths (Fatalities)', 'Epidemics']",By Benjamin Mueller
4919,Why China’s Move to Rein In Hong Kong Is Just the Start,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/asia/china-hong-kong-taiwan.html,Foreign,"['International Relations', 'Politics and Government', 'Defense and Military Forces', 'United States International Relations', 'Secession and Independence Movements']",By Steven Lee Myers
4925,Why China’s Move to Rein In Hong Kong Is Just the Start,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/asia/china-hong-kong-taiwan.html,Foreign,"['International Relations', 'Politics and Government', 'Defense and Military Forces', 'United States International Relations', 'Secession and Independence Movements']",By Steven Lee Myers
4936,‘I Am Just Hong Kong’: A City’s Fate in China’s Hands,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/hong-kong-china.html,Foreign,"['Politics and Government', 'Defense and Military Forces', 'Economic Conditions and Trends', 'Hong Kong Protests (2019)', 'Law and Legislation']",By Hannah Beech
4945,‘I Am Just Hong Kong’: A City’s Fate in China’s Hands,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/hong-kong-china.html,Foreign,"['Politics and Government', 'Defense and Military Forces', 'Economic Conditions and Trends', 'Hong Kong Protests (2019)', 'Law and Legislation']",By Hannah Beech
